Unnamed: 0,Unnamed: 0.1,game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,year_published,artist,category,compilation,designer,family,mechanic,publisher,users_rated,average_rating,x,y,z
0,0,1,5.0,240.0,14.0,3.0,240.0,Die Macher,1986,"Marcus Gschwendtner,Harald Lieske","Economic,Negotiation,Political",,Karl-Heinz Schmiel,"Country: Germany,Political: Elections,Series: Classic Line (Valley Games)","Alliances,Area Majority / Influence,Auction/Bidding,Dice Rolling,Hand Management,Simultaneous Action Selection","Hans im Glück,Moskito Spiele,Portal Games,Spielworxx,sternenschimmermeer,Stronghold Games,Valley Games, Inc.,YOKA Games",5275,7.61727,-37.262115,9.337966,-12.1528
1,1,2,4.0,30.0,12.0,3.0,30.0,Dragonmaster,1981,Bob Pepper,"Card Game,Fantasy",,"G. W. ""Jerry"" D'Arcey",Creatures: Dragons,Trick-taking,"E.S. Lowe,Milton Bradley",559,6.64346,39.649223,61.608753,-6.8804393
2,2,3,4.0,60.0,10.0,2.0,30.0,Samurai,1998,Franz Vohwinkel,"Abstract Strategy,Medieval",,Reiner Knizia,"Country: Japan,Digital Implementations: Triqqy,Series: Euro Classics (Reiner Knizia),Series: Tile-Laying Trilogy (Reiner Knizia),Theme: Samurai","Area Majority / Influence,Hand Management,Hexagon Grid,Once-Per-Game Abilities,Set Collection,Tile Placement","Fantasy Flight Games,Hans im Glück,999 Games,ABACUSSPIELE,Astrel Games,Ceilikan Jogos,Descartes Editeur,Edge Entertainment,Galakta,Hobby Japan,Korea Boardgames Co., Ltd.,Lacerta,Lautapelit.fi,Rio Grande Games,Skandinavisk  Spil Kompagni,Smart Ltd,Wargames Club Publishing",14944,7.4506,-19.200071,-4.970615,1.4323016
3,3,4,4.0,60.0,12.0,2.0,60.0,Tal der Könige,1992,Thomas di Paolo,Ancient,,Christian Beierer,"Containers: Triangular Boxes,Country: Egypt,Promotional: Promo Board Games","Action Points,Area Majority / Influence,Auction/Bidding,Set Collection",KOSMOS,337,6.59353,-27.639568,-4.4703093,-4.011026
4,4,5,6.0,90.0,12.0,2.0,90.0,Acquire,1964,"Scott Okumura,Peter Whitley","Economic,Territory Building",,Sid Sackson,Series: 3M Bookshelf Series,"Hand Management,Investment,Market,Square Grid,Stock Holding,Tile Placement,Victory Points as a Resource","3M,The Avalon Hill Game Co,Avalon Hill Games, Inc.,Dujardin,Grow Jogos e Brinquedos,PS-Games,Schmidt France,Schmidt International,Schmidt Spiele,Selecta Spel en Hobby,Smart Games, Inc.",18390,7.3378,-43.165142,-57.60691,1.8848598
6,6,7,2.0,20.0,8.0,2.0,20.0,Cathedral,1978,S. Mattusek,Abstract Strategy,,Robert P. Moore,"Category: Combinatorial,Components: Polyominoes,Players: Two Player Only Games","Enclosure,Pattern Building,Pattern Recognition,Tile Placement","Brightway Products Ltd,Falomir Juegos,Family Games, Inc.,Gazebo Games UK Ltd.,Gigamic,Holzinsel,Lagoon Games,Mattel,Robert P. Moore Games,Yangxin Industrial Company Limited",3272,6.52122,0.33645478,-69.9825,-2.5068836
7,7,8,5.0,120.0,12.0,2.0,120.0,Lords of Creation,1993,Bryan King,"Civilization,Fantasy",,Martin Wallace,,Modular Board,"Vendetta,Warfrog Games",199,6.11829,-27.733278,-12.476873,24.052986
8,8,9,4.0,90.0,13.0,2.0,90.0,El Caballero,1998,Doris Matthäus,Exploration,,"Wolfgang Kramer,Richard Ulrich",Game: El Grande,"Area Majority / Influence,Tile Placement","999 Games,Hans im Glück,Rio Grande Games",1383,6.45895,-9.914474,2.9891553,8.491141
9,9,10,6.0,60.0,10.0,2.0,60.0,Elfenland,1998,"Doris Matthäus,Alan R. Moon","Fantasy,Travel",,Alan R. Moon,"Creatures: Fairies / Elves / Pixies,Digital Implementations: Board Game Arena,Game: Elfenroads","Card Drafting,Hand Management,Network and Route Building,Point to Point Movement","AMIGO,999 Games,Albi,Corfix,Hobby World,Midgaard Games,Rio Grande Games",8188,6.69879,-7.984768,-33.561287,-1.2951385
10,10,11,7.0,45.0,13.0,2.0,45.0,Bohnanza,1997,"Fréderic Bertrand,Marek Bláha,Andrea Boekhoff,Klemens Franz,Oliver Freudenreich,Inge George,Guido Hoffmann,Alexander Jung,Harald Lieske,Atelier Löwentor,Doris Matthäus,Björn Pertoft,Uwe Rosenberg,Johann Rüttinger,Barbara Stachuletz,Franz Vohwinkel,Markus Wagner","Card Game,Farming,Negotiation",,Uwe Rosenberg,"Components: Multi-Use Cards,Game: Bohnanza,Series: Bean Games (Lookout)","Hand Management,Melding and Splaying,Negotiation,Set Collection,Trading","AMIGO,999 Games,Brädspel.se,Brain Games,Copag Cards,Corfix,G3,Gigamic,Giochi Uniti,Kaissa Chess & Games,Kikigagne?,Korea Boardgames Co., Ltd.,Lautapelit.fi,Lifestyle Boardgames Ltd,Lookout Games,Mercurio,Midgaard Games,Möbius Games,PaperGames (III),Piatnik,Rio Grande Games,Stratelibri,Swan Panasia Co., Ltd.,Tempo Games (I)",38960,7.03786,9.466541,-49.153442,2.8958519
11,11,12,5.0,60.0,12.0,2.0,45.0,Ra,1999,"Allison Kline,Ian O'Toole,Tiago Sousa,Franz Vohwinkel","Ancient,Mythology",,Reiner Knizia,"Country: Egypt,Digital Implementations: Triqqy,Game: Ra,Misc: LongPack Games,Mythology: Egyptian,Series: Alea Big Box,Series: Book Box (DiceTree),Series: Euro Classics (Reiner Knizia)","Auction/Bidding,Auction: Once Around,Closed Economy Auction,Constrained Bidding,Push Your Luck,Set Collection","alea,Ravensburger,25th Century Games,999 Games,ABACUSSPIELE,DiceTree Games,Edge Entertainment,Korea Boardgames Co., Ltd.,New Games Order, LLC,Precisamente,Rio Grande Games,Swan Panasia Co., Ltd.,Überplay,Windrider Games",19342,7.47593,-17.068785,-43.17569,1.9856817
12,12,13,4.0,120.0,10.0,3.0,60.0,Catan,1995,"Volkan Baga,Tanja Donner,Pete Fenlon,Jason Hawkins,Michaela Kienle,Harald Lieske,Michael Menzel,Marion Pott,Matt Schwabel,Franz Vohwinkel,Stephen Graham Walsh","Economic,Negotiation","CATAN 3D Collector's Edition,Catan: 25 Jahre Jubiläums-Edition,Catan: 25th Anniversary Edition,CATAN: 3D Edition,Catan: Big Box,Catan: Big Box,Catan: Big Box,Catan: Big Box Jubileumeditie,The Settlers of Catan (containing 5/6 player expansion)",Klaus Teuber,"Animals: Sheep,Components: Hexagonal Tiles,Components: Wooden pieces & boards,Game: Catan,Promotional: Promo Board Games","Dice Rolling,Hexagon Grid,Income,Modular Board,Network and Route Building,Race,Random Production,Trading,Variable Set-up","KOSMOS,999 Games,Albi,Astrel Games,Bergsala Enigma (Enigma),Brädspel.se,Brain Games,Broadway Toys LTD,Capcom Co., Ltd.,Catan Studio,Competo / Marektoy,danspil,Descartes Editeur,Devir,Dexy Co,Eurogames,Filosofia Éditions,Galakta,Giochi Uniti,GP Games,Grow Jogos e Brinquedos,HaKubia,Hanayama,Hobby World,Ideal Board Games,Igroljub,IntelliGames.BG,Ísöld ehf.,Kaissa Chess & Games,Korea Boardgames Co., Ltd.,L&M Games,Laser plus,Lautapelit.fi,Logojogos,Mayfair Games,Ninive Games,Piatnik,Smart Ltd,spilbræt.dk,Stupor Mundi,SuperHeated Neurons,Swan Panasia Co., Ltd.,Tilsit,Top Toys,TRY SOFT,Vennerød Forlag AS",104179,7.14581,-51.871174,-57.46989,3.0453074
13,13,14,4.0,25.0,10.0,3.0,25.0,Basari,1998,"John Kovalic,Lüders & Baran,Stefan Theurer",Negotiation,,Reinhard Staupe,Misc: Mensa Select,"Roll / Spin and Move,Set Collection,Simultaneous Action Selection","F.X. Schmid,New Games Order, LLC,Out of the Box Publishing",1632,6.76026,3.4723403,0.059328154,-5.957162
14,14,15,6.0,90.0,12.0,2.0,90.0,Cosmic Encounter,1977,"John Blanche,Chris Ferguson,Anders Jeppsson,Dean Morrissey,Paul Render,Lori Walls","Bluffing,Negotiation,Science Fiction",,"Bill Eberle,Jack Kittredge,Bill Norton,Peter Olotka","Admin: Better Description Needed!,Creatures: Aliens / Extraterrestrials,Game: Cosmic Encounter","Alliances,Hand Management,Negotiation,Variable Player Powers","Eon,Alga,ASS Altenburger Spielkarten,Descartes Editeur,Games Workshop Ltd.,Grow Jogos e Brinquedos,Tsukuda Hobby,West End Games",3870,6.90913,-37.525883,11.155172,-9.803907
15,15,16,4.0,60.0,12.0,3.0,60.0,MarraCash,1996,"Marion Pott,Oliver Vogel",Economic,,Stefan Dorra,"Admin: Better Description Needed!,Cities: Marrakech (Morocco),Country: Morocco",Auction/Bidding,KOSMOS,941,6.81825,-6.895446,-14.385671,-37.378227
16,16,17,2.0,5.0,10.0,2.0,5.0,Button Men,1999,"Pete Abrams,Gerald Brom,Larry Elmore,Phil Foglio,Adam Hughes,Ryan Kinnaird,John Kovalic,John Nephew,Michelle Nephew,Brian Snoddy,Cheyenne Wright,Andrew Yates","Collectible Components,Dice,Fighting,Print & Play",,James Ernest,"Components: Polyhedral (not D6) dice,Creatures: Vampires,Players: Two Player Only Games","Dice Rolling,Push Your Luck","Cheapass Games,(Unknown),Atlas Games,Five Rings Publishing Group,Guardians of Order,Looney Labs,Slag-Bla entertainment (now XXXenophile Books),Studio Foglio,Truant Spiele",801,6.35649,-12.071564,58.902794,10.439205
17,17,18,8.0,120.0,12.0,2.0,45.0,RoboRally,1994,"Peter Bergting,Bob Carasca,Phil Foglio,Daniel Gelon,Jennifer Lathrop,Paul Sottosanti,Franz Vohwinkel,Peter Whitley","Maze,Miniatures,Racing,Science Fiction",,Richard Garfield,"Theme: Robots,Theme: Sci-Fi Sports","Action Queue,Bias,Grid Movement,Lose a Turn,Modular Board,Programmed Movement,Race,Scenario / Mission / Campaign Game,Simultaneous Action Selection","Wizards of the Coast,999 Games,ADC Blackfire Entertainment,AMIGO,Avalon Hill Games, Inc.,Hasbro,Play Factory",22631,7.07918,-29.059217,41.501003,2.2213953
18,18,19,4.0,45.0,9.0,2.0,30.0,Wacky Wacky West,1991,"Chris McGloughlin,Franz Vohwinkel","American West,Bluffing,City Building",,Klaus Teuber,,"Tile Placement,Voting","Hans im Glück,Mayfair Games",1766,6.29162,-50.12983,-40.70796,9.385267
19,19,20,4.0,90.0,12.0,2.0,90.0,Full Metal Planète,1988,Pascal Trigaux,"Miniatures,Science Fiction",,"Gérard Delfanti,Gérard Mathieu,Pascal Trigaux",Admin: Better Description Needed!,"Action Points,Dice Rolling,Hexagon Grid",Ludodélire,718,7.48652,-20.194956,32.945908,-28.984589
21,21,22,16.0,240.0,12.0,1.0,240.0,Magic Realm,1979,"George Goebel,Kim Grommel,Richard Hamblen,Randall C. Reed,Chris White (I)","Adventure,Exploration,Fantasy,Fighting",,Richard Hamblen,"Animals: Bats,Animals: Horses,Animals: Octopuses,Animals: Snakes,Animals: Spiders,Creatures: Dragons,Creatures: Goblins,Creatures: Monsters,Players: Games with Solitaire Rules,Theme: Weather,Theme: Witches","Action Queue,Dice Rolling,Events,Modular Board,Paper-and-Pencil,Player Elimination,Point to Point Movement,Role Playing,Simultaneous Action Selection,Variable Player Powers,Variable Set-up","The Avalon Hill Game Co,Hobby Japan",2003,7.20141,-1.9130343,41.63096,-20.699352
22,22,23,6.0,360.0,12.0,2.0,360.0,Divine Right,1979,"Kenneth Rahman,David C. Sutherland, III,David A. Trampier","Fantasy,Political,Wargame",,"Glenn Rahman,Kenneth Rahman","Creatures: Dragons,Creatures: Goblins,Creatures: Monsters","Card Drafting,Dice Rolling,Events,Grid Movement,Hexagon Grid,Movement Points,Player Elimination,Simulation,Variable Phase Order,Variable Player Powers","TSR,Right Stuf",561,7.12889,-52.213028,24.319113,-53.3088
23,23,24,6.0,240.0,12.0,2.0,240.0,Twilight Imperium,1997,Bill Heagy,"Civilization,Negotiation,Political,Science Fiction,Space Exploration,Wargame",,Christian T. Petersen,"Components: Hexagonal Tiles,Game: Twilight Imperium,Mechanism: 4X","Dice Rolling,Hexagon Grid,Modular Board,Tile Placement,Variable Player Powers,Voting",Fantasy Flight Games,690,6.6328,-45.70386,-1.6199397,-4.8148456
24,24,25,6.0,200.0,12.0,2.0,200.0,Battlemist,1998,"Bill Heagy,Christian T. Petersen","Exploration,Fantasy,Wargame",,Christian T. Petersen,"Mechanism: 4X,Setting: The Realms of Terrinoth","Dice Rolling,Hexagon Grid",Fantasy Flight Games,320,5.93109,-31.495535,26.006382,33.083908
25,25,26,6.0,300.0,12.0,3.0,120.0,Age of Renaissance,1996,"Stephen Langmead,Kurt Miller","Civilization,Economic,Medieval,Renaissance",,"Don Greenwood,Jared Scarborough",Continents: Europe,"Area Movement,Auction/Bidding","The Avalon Hill Game Co,Descartes Editeur",2133,7.09564,-40.289635,-10.434629,-19.96991
26,26,27,6.0,340.0,12.0,2.0,340.0,Supremacy: The Game of the Superpowers,1984,,"Economic,Modern Warfare,Political,Wargame",,Robert J. Simpson,Game: Supremacy,"Commodity Speculation,Dice Rolling","Descartes Editeur,Grow Jogos e Brinquedos,Supremacy Games",1328,5.64031,-47.935165,49.346897,55.556103
27,27,28,8.0,180.0,12.0,2.0,60.0,Illuminati,1987,"Lar DeSouza,Jeffrey D. George,Frank Gerwin,John Grigni,C. Mara Lee,Carl Manz,Dave Martin,Shea Ryan,Dan Smith,Czeslaw Sornat,Cliff Van Meter","Card Game,Humor,Negotiation,Political,Science Fiction",,Steve Jackson (I),Game: Illuminati,"Card Drafting,Dice Rolling,Network and Route Building,Tile Placement,Variable Player Powers","Steve Jackson Games,Descartes Editeur,Devir,Edge Entertainment,Finnish Game House,Laurin Verlag,Pegasus Spiele,Queen Games,Raven Distribution,Ubik",4880,6.48042,8.838319,5.412242,-2.1215086
29,29,30,4.0,90.0,10.0,1.0,90.0,Dark Tower,1981,Bob Pepper,"Adventure,Electronic,Exploration,Fantasy,Fighting",,"Roger Burten,Alan Coleman,Vincent A. A. J. Erato","Components: 3-Dimensional (3D),Components: Miniatures,Creatures: Dragons","Area Movement,Push Your Luck",Milton Bradley,1278,6.82985,61.01279,-22.444555,-37.140923
30,30,31,5.0,90.0,10.0,2.0,90.0,Dark World,1991,Chris Baker,"Adventure,Exploration,Fantasy,Fighting,Miniatures",,Eamon Bloomfield,"Admin: Better Description Needed!,Category: Dungeon Crawler,Components: 3-Dimensional (3D),Setting: Das Schwarze Auge","Dice Rolling,Grid Movement","AS Company,Canada Games,Crown & Andrews Ltd.,Diset S. A.,Kod Kod,Mattel,Schmidt France,Schmidt Spiele,Selecta Spel en Hobby,Waddingtons",767,5.36746,-10.20984,36.499924,48.895638
31,31,32,2.0,30.0,8.0,2.0,30.0,Buffalo Chess,1975,"Dahee Lee,Lisa Plangger","Abstract Strategy,American West",,Alex Randolph,"Category: Combinatorial,Players: Two Player Only Games,Series: Abstract (Lakeside),Series: Buchkassette (Pelikan)",,"Action GT,BHS Games,GP Games,Lakeside,OPEN'N PLAY,Pelikan,Piatnik,Popcorn Games,Schmidt Spiele,Venice Connection,Winning Moves France",318,6.06069,-52.8768,-42.543934,28.279623
32,32,34,8.0,180.0,12.0,1.0,180.0,Arkham Horror,1987,Tom Sullivan,"Adventure,Horror,Novel-based",,"Charlie Krank,Richard Launius,Sandy Petersen,Lynn Willis","Game: Arkham Horror,Theme: Cthulhu Mythos","Cooperative Game,Role Playing,Variable Player Powers","Chaosium,Descartes Editeur,Hobby Japan",530,6.63237,2.3011458,34.727463,-4.6614633
33,33,36,8.0,300.0,12.0,2.0,300.0,Federation & Empire,1986,"William H. Keith, Jr.,David Martin (II)","Science Fiction,Wargame",,Stephen V. Cole,"Components: Map (Interplanetary or Interstellar scale),Game: Federation & Empire,Setting: Star Fleet Universe,TV Shows: Star Trek (various)","Dice Rolling,Hexagon Grid,Movement Points","Amarillo Design Bureau, Inc.,Task Force Games",403,6.3995,-53.537422,23.536495,13.355068
34,34,37,4.0,120.0,12.0,2.0,120.0,Dragon Masters,1991,Christos Achilleos,"Fantasy,Wargame",,Ian Livingstone,"Creatures: Dragons,Setting: Warhammer Fantasy Board Games",,Games Workshop Ltd.,149,5.79128,49.239254,1.5855522,38.038807
36,36,39,4.0,60.0,12.0,2.0,60.0,Darkover,1979,Hannah M. G. Shapero,"Bluffing,Fantasy,Novel-based",,"Bill Eberle,Jack Kittredge,Peter Olotka","Admin: Better Description Needed!,Components: 3-Dimensional (3D),Theme: Psychic Powers","Area Majority / Influence,Area Movement,Card Drafting,Events,Paper-and-Pencil,Rock-Paper-Scissors,Sudden Death Ending,Variable Player Powers,Variable Set-up",Eon,107,5.28925,-43.512493,11.029794,47.36715
37,37,40,4.0,120.0,12.0,2.0,120.0,Borderlands,1982,"Frank Frazetta,Dean Morrissey","Bluffing,Civilization,Fantasy,Negotiation,Political",,"Bill Eberle,Jack Kittredge,Peter Olotka",,"Area Movement,Random Production,Trading","Edition Spielkunst,Eon,Tsukuda Hobby,Welt der Spiele",267,6.73369,-52.350704,-57.534595,-33.050163
38,38,41,4.0,30.0,9.0,2.0,30.0,Can't Stop,1980,"Klemens Franz,Heiko Günther,Gabriel Laulunen (II),Walter Pepperle,Ronan Le Maître,Klaus Wilinski,Atelier Wilinski",Dice,,Sid Sackson,Digital Implementations: Board Game Arena,"Dice Rolling,Push Your Luck","Parker Brothers,Asmodee,Borras Plana S.A.,Clipper,Eagle-Gryphon Games,Editrice Giochi,Face2Face Games,förlAgo AB,franjos Spieleverlag,Gonggan27,Miro Company,New Games Order, LLC,OPEN'N PLAY,Oya,Palitoy Ltd.,Popcorn Games,Ravensburger,Swan Panasia Co., Ltd.,Vennerød Forlag AS",13747,6.84675,19.5868,-1.6119614,1.3114432
39,39,42,4.0,90.0,12.0,2.0,90.0,Tigris & Euphrates,1997,"Bascu,Christine Conrad,Doris Matthäus,Tom Thiel,Ricarda Thiel,Stephen Graham Walsh","Ancient,Civilization,Territory Building",,Reiner Knizia,"Ancient: Mesopotamia,Digital Implementations: Triqqy,Game: Tigris & Euphrates,Region: Middle East,Rivers: Euphrates,Rivers: Tigris,Series: Euro Classics (Reiner Knizia),Series: Tile-Laying Trilogy (Reiner Knizia)","Area Majority / Influence,Connections,Hand Management,Highest-Lowest Scoring,Income,Set Collection,Square Grid,Tile Placement","Hans im Glück,999 Games,CZ Cloud Soft Co. Ltd,Devir,Edge Entertainment,Fantasy Flight Games,Galápagos Jogos,Giochi Uniti,Heidelberger Spieleverlag,Hobby Japan,Lacerta,Matagot,Mayfair Games,Pegasus Spiele,Smart Ltd,Top Licence Games,Wargames Club Publishing,Z-Man Games, Inc.",25653,7.69506,-3.2788842,-53.21657,2.4827185
40,40,43,6.0,90.0,12.0,2.0,90.0,Airlines,1990,Christian Schütte,"Aviation / Flight,Economic",,Alan R. Moon,,"Investment,Network and Route Building,Stock Holding",ABACUSSPIELE,365,6.58955,-43.910492,-56.459393,-4.0855575
41,41,44,6.0,60.0,8.0,3.0,60.0,David & Goliath,1997,"Alexander Bradley,Oliver Freudenreich",Card Game,,Reinhard Staupe,,Trick-taking,"Berliner Spielkarten,Pegasus Spiele,Playroom Entertainment,Wargames Club Publishing",1583,6.45299,38.75684,61.856403,8.446103
43,43,46,6.0,60.0,10.0,2.0,60.0,Medici,1995,"David Cherry,Vincent Dutrait,Dominique Ehrhard,Franz Vohwinkel",Renaissance,,Reiner Knizia,"Cities: Florence (Tuscany, Italy),Country: Italy,Crowdfunding: Kickstarter,Misc: LongPack Games,Series: Knizia Florentine auction games","Auction/Bidding,Auction: Once Around,Income,Investment,Multiple-Lot Auction,Push Your Luck,Set Collection,Victory Points as a Resource","AMIGO,ABACUSSPIELE,Asmodee,Devil Dice Games,Grail Games,Lui-même,PaperGames (III),Rio Grande Games",7254,7.15012,-12.110878,-23.035284,-0.6559771
44,44,47,5.0,60.0,12.0,3.0,60.0,Chinatown,1999,"Mathieu Leyssenne,Franz Vohwinkel","City Building,Economic,Negotiation",,Karsten Hartwig,"Cities: New York (New York, USA),Decades: The 1960's,Series: Alea Big Box,Series: Filosofia Reprints","Enclosure,Income,Investment,Negotiation,Set Collection,Tile Placement,Trading,Victory Points as a Resource","alea,Ravensburger,(Unknown),Competo / Marektoy,Filosofia Éditions,Heidelberger Spieleverlag,Mandoo Games,Quined White Goblin Games,Siam Board Games,Z-Man Games, Inc.",8701,7.33986,-45.03129,-56.654335,-0.14264491
45,45,48,4.0,90.0,12.0,2.0,90.0,Krieg und Frieden,1999,Franz Vohwinkel,"Medieval,Political",,Gerard Mulder,,Auction/Bidding,"999 Games,La Tana dei Goblin,TM Spiele",709,6.09426,-20.941538,-1.962962,26.855982
46,46,49,5.0,30.0,10.0,2.0,30.0,Mamma Mia!,1998,Franz Vohwinkel,Card Game,Mamma Mia! con Ingredientes dobles,Uwe Rosenberg,"Game: Mamma Mia!,Theme: Food / Cooking","Hand Management,Memory","ABACUSSPIELE,Brain Games,cutia.ro,dV Giochi,G3,HomoLudicus,Kaissa Chess & Games,Korea Boardgames Co., Ltd.,Lifestyle Boardgames Ltd,Möbius Games,Oya,PS-Games,Red Glove,Rio Grande Games,Swan Panasia Co., Ltd.,Vennerød Forlag AS",5735,6.4706,6.559295,-3.570854,-1.9510757
47,47,50,2.0,30.0,10.0,2.0,30.0,Lost Cities,1999,"Vincent Dutrait,Michaela Kienle,Anke Pohl,Thilo Rick,Claus Stephan,Franz Vohwinkel","Card Game,Exploration",,Reiner Knizia,"Card Games: Draw and Discard,Digital Implementations: Board Game Arena,Digital Implementations: Triqqy,Game: Lost Cities,Players: Two Player Only Games,Series: Two-player games (Kosmos),Theme: Archaeology / Paleontology","Hand Management,Push Your Luck,Score-and-Reset Game,Set Collection","KOSMOS,گیمِ پندو (Pendo Games),999 Games,Albi,Competo / Marektoy,Devir,Filosofia Éditions,Galakta,Group SNE,IELLO,Kaissa Chess & Games,Korea Boardgames Co., Ltd.,Land of Beautiful Mind (سرزمین ذهن زیبا),Laser plus,Lautapelit.fi,Midgaard Games,Piatnik,Playhouse Ltd,Rio Grande Games,Stupor Mundi,Swan Panasia Co., Ltd.,Tilsit,Zvezda",38163,7.17963,33.52738,51.883778,2.8864236
48,48,51,99.0,30.0,10.0,1.0,30.0,Ricochet Robots,1999,Franz Vohwinkel,"Abstract Strategy,Maze,Puzzle,Real-time",,Alex Randolph,"Players: Games with Solitaire Rules,Theme: Robots","Grid Movement,Modular Board","Hans im Glück,ABACUSSPIELE,Devir,Gém Klub Kft.,Happy Baobab,Korea Boardgames Co., Ltd.,MS Edizioni,Oya,Playgo Hungary,Rio Grande Games,Swan Panasia Co., Ltd.,Z-Man Games, Inc.",8123,7.00809,40.883644,12.6276,-0.7170895
49,49,52,3.0,300.0,14.0,2.0,300.0,Mighty Empires,1990,"Tony Ackland,Albrecht Altdorfer,Dave Andrews,Chris Baker,Paul Bonner,Colin Howard,Martin McKenna,Russ Nicholson,John Sibbick,Stephen Tappin,Kevin Walker","Fantasy,Territory Building,Wargame",,"Rick Priestley,Nigel Stillman",Setting: Warhammer Fantasy Wargames,,Games Workshop Ltd.,512,6.17553,49.879025,1.3482255,21.013401
51,51,54,4.0,90.0,10.0,2.0,90.0,Tikal,1999,"Mariusz Gandzel,Paul Mafayon,Christophe Swal,Franz Vohwinkel","Exploration,Territory Building",,"Michael Kiesling,Wolfgang Kramer","Country: Guatemala,Promotional: Promo Board Games,Series: The Mask Trilogy (Kramer / Kiesling),Theme: Archaeology / Paleontology,Theme: Tropical","Action Points,Area Majority / Influence,Auction/Bidding,Grid Movement,Hexagon Grid,Layering,Map Addition,Modular Board,Set Collection,Tile Placement","Ravensburger,Super Meeple,ABACUSSPIELE,Conclave Editora,dV Giochi,Egmont Polska,Gém Klub Kft.,Hobby Game Mall,Keep Exploring Games,Kellogg's,Maldito Games,Rio Grande Games,Siam Board Games,YOKA Games,Zvezda",18136,7.33407,1.5453188,-48.559525,1.8586495
53,53,57,4.0,180.0,13.0,2.0,180.0,Schoko & Co.,1987,(Uncredited),Economic,,"Yves Hirschfeld,Gilles Monnet",,"Auction/Bidding,Commodity Speculation",Schmidt Spiele,406,6.64801,-28.301052,-45.476334,-7.2649765
54,54,58,4.0,120.0,12.0,2.0,120.0,Kings & Things,1986,"Ray-Mel Cornelius,Charles Elliot (I),Loring Eutemey,Martin Hoffmann,Richard A. Johnson,Doris Matthäus,Claus Stephan,David A. Trampier,Walter Velez,Tom Wham,Kevin Wilkins","Bluffing,Exploration,Fantasy,Humor,Territory Building,Wargame",,"Doug Kaufman,Robert J. Kuntz,Tom Wham","Admin: Better Description Needed!,Animals: Birds,Animals: Camels,Animals: Dinosaurs,Animals: Elephants,Animals: Insects,Animals: Penguins,Animals: Raccoons,Animals: Snakes,Animals: Spiders,Animals: Squirrels,Animals: Tigers,Animals: Wolves,Creatures: Dragons,Creatures: Goblins,Creatures: Monsters,Creatures: Vampires,Theme: Deserts,Theme: Hot Air Balloons","Area Majority / Influence,Area Movement,Dice Rolling,Events,Hexagon Grid,Modular Board,Secret Unit Deployment","Games Workshop Ltd.,Hobby Japan,Pegasus Spiele,West End Games,Z-Man Games, Inc.",1612,6.50489,-28.646078,23.354944,8.05383
55,55,59,4.0,90.0,10.0,3.0,90.0,Giganten,1999,Franz Vohwinkel,"Economic,Exploration,Industry / Manufacturing",,Wilko Manz,"Admin: Better Description Needed!,Theme: Oil / Gas / Petroleum,Theme: Trucks","Auction/Bidding,Commodity Speculation",KOSMOS,1380,6.70455,-31.63051,-43.01364,-6.0202928
56,56,60,6.0,90.0,14.0,3.0,90.0,Vinci,1999,Cyril Saint Blancat,"Ancient,Civilization,Territory Building",,Philippe Keyaerts,Digital Implementations: Yucata,"Area Majority / Influence,Area Movement,Increase Value of Unchosen Resources,Variable Player Powers",Descartes Editeur,3956,7.07788,-20.895395,-27.364075,-10.418008
57,57,61,6.0,40.0,10.0,2.0,40.0,Fossil,1998,Franz Vohwinkel,Ancient,,Klaus Palesch,,Set Collection,"Goldsieber Spiele,Rio Grande Games",670,5.43968,-29.5232,-3.2054703,49.54037
58,58,62,4.0,120.0,12.0,1.0,120.0,Curse of the Mummy's Tomb,1988,"Dave Andrews,Gary Chalk,Trish Morrison,Aly Morrison,James Warhola","Adventure,Ancient,Horror",,Stephen Hand,"Components: 3-Dimensional (3D),Country: Egypt,Creatures: Mummies",Action Queue,"Games Workshop Ltd.,Sfera",337,5.31335,-12.888824,10.566178,47.807354
59,59,63,8.0,180.0,12.0,2.0,180.0,Samurai: Game of Politics and Warfare in Feudal Japan,1979,"Steve Burnett,Arnold Hendrick","Medieval,Political,Wargame",,Dan Campagna,"Country: Japan,History: Kamakura Period to Muromachi Period,History: Sengoku Period","Area Movement,Dice Rolling,Movement Points,Ratio / Combat Results Table,Simulation,Turn Order: Progressive","The Avalon Hill Game Co,Battleline",428,6.45051,-59.833244,28.52327,11.259103
60,60,64,6.0,180.0,12.0,3.0,180.0,Joan of Arc,1998,"Thibaud Béghin,Greg Cervall","Card Game,Medieval,Political,Wargame",,Pascal Bernard,"Cities: Orléans (France),Historical Figures: Joan of Arc,History: Hundred Years Wars","Area Majority / Influence,Area Movement,Dice Rolling,Hand Management,Take That,Team-Based Game","Clash of Arms Games,Tilsit,Truant Spiele",442,6.25681,-19.543734,-1.2129968,18.871908
62,62,66,4.0,90.0,12.0,2.0,90.0,Löwenherz,1997,Andreas Steiner,"Medieval,Political",,Klaus Teuber,Admin: Better Description Needed!,"Area Majority / Influence,Auction/Bidding,Modular Board","Goldsieber Spiele,Rio Grande Games",2438,7.02796,-20.97957,-1.9605291,-10.685885
